page_url,category,subcategory,category_path
https://www.screwfix.com//c/electrical-lighting/battery-chargers/cat830346,Electrical lighting,Battery chargers,/c/electrical-lighting/battery-chargers/cat830346
https://www.screwfix.com//c/electrical-lighting/alarms-sensors/cat10650011,Electrical lighting,Alarms sensors,/c/electrical-lighting/alarms-sensors/cat10650011
https://www.screwfix.com//c/electrical-lighting/speakers/cat7790006,Electrical lighting,Speakers,/c/electrical-lighting/speakers/cat7790006
https://www.screwfix.com//c/electrical-lighting/telephone-accessories/cat830124,Electrical lighting,Telephone accessories,/c/electrical-lighting/telephone-accessories/cat830124
https://www.screwfix.com//c/electrical-lighting/mobile-payment-devices/cat6020002,Electrical lighting,Mobile payment devices,/c/electrical-lighting/mobile-payment-devices/cat6020002
https://www.screwfix.com//c/electrical-lighting/remote-controls/cat4320029,Electrical lighting,Remote controls,/c/electrical-lighting/remote-controls/cat4320029
https://www.screwfix.com//c/electrical-lighting/smart-homes/cat7240001,Electrical lighting,Smart homes,/c/electrical-lighting/smart-homes/cat7240001
https://www.screwfix.com//c/electrical-lighting/smart-electrical/cat4320011,Electrical lighting,Smart electrical,/c/electrical-lighting/smart-electrical/cat4320011
https://www.screwfix.com//c/electrical-lighting/smart-lighting/cat8860001,Electrical lighting,Smart lighting,/c/electrical-lighting/smart-lighting/cat8860001
https://www.screwfix.com//c/electrical-lighting/smart-home-kits/cat8840002,Electrical lighting,Smart home kits,/c/electrical-lighting/smart-home-kits/cat8840002
https://www.screwfix.com//c/electrical-lighting/lighting/cat840782,Electrical lighting,Lighting,/c/electrical-lighting/lighting/cat840782
https://www.screwfix.com//c/electrical-lighting/light-bulbs/cat8350001,Electrical lighting,Light bulbs,/c/electrical-lighting/light-bulbs/cat8350001
https://www.screwfix.com//c/electrical-lighting/tube-lights/cat2690010,Electrical lighting,Tube lights,/c/electrical-lighting/tube-lights/cat2690010
https://www.screwfix.com//c/electrical-lighting/downlights/cat840836,Electrical lighting,Downlights,/c/electrical-lighting/downlights/cat840836
https://www.screwfix.com//c/electrical-lighting/indoor-lighting/cat12410001,Electrical lighting,Indoor lighting,/c/electrical-lighting/indoor-lighting/cat12410001
https://www.screwfix.com//c/electrical-lighting/outdoor-lighting/cat8370001,Electrical lighting,Outdoor lighting,/c/electrical-lighting/outdoor-lighting/cat8370001
