page_url,category,subcategory,category_code
https://www.trade-point.co.uk/departments/mapei-flexcolour-ready-mixed-jasmine-grout-5kg/8022452055263_TP.prd,Flooring & tiling,"Tiling grouts, sealers & adhesives",TPW765575
https://www.trade-point.co.uk/departments/jay-be-benchmark-s1-comfort-eco-friendly-open-coil-water-resistant-small-double-mattress/5016253004561_TP.prd,"Home, furniture & storage",Furniture,TPW2023241
https://www.trade-point.co.uk/departments/venus-fly-trap-in-9cm-assorted-plastic-pot/3663602463481_TP.prd,Outdoor & garden,"Plants, seeds & bulbs",TPW581222
https://www.trade-point.co.uk/departments/jg-speedfit-push-fit-tap-connector-15mm-x-l-300mm-pack-of-2/34377_TP.prd,"Heating, plumbing & cooling",Plumbing,TPW1652478
https://www.trade-point.co.uk/departments/blooma-paracas-green-fixing-spike-l-450mm/1906481_TP.prd,Outdoor & garden,Lawn & plant care,TPW581162
https://www.trade-point.co.uk/departments/cooke-lewis-onega-blanc-frosted-striped-pattern-sliding-shower-door-h-190cm-w-120cm/1620659_TP.prd,Bathroom,"Shower enclosures, doors & trays",TPW822115
https://www.trade-point.co.uk/departments/blooma-deck-riser-l-35mm-pack-of-10/3663602426875_TP.prd,Outdoor & garden,Decking,TPW585085
https://www.trade-point.co.uk/departments/smart-solar-multispot-black-solar-powered-led-outdoor-ground-light-set-of-10/5050642077118_TP.prd,Lighting,Outdoor lights,TPW579493
https://www.trade-point.co.uk/departments/diall-countersunk-hammer-fixing-l-80mm-dia-8mm-pack-of-50/1585015_TP.prd,Hardware,Fixings & plugs,TPW580734
https://www.trade-point.co.uk/departments/goodhome-moorea-grey-metal-armchair/5059340347349_TP.prd,Outdoor & garden,Garden furniture,TPW0001976
https://www.trade-point.co.uk/departments/magnusson-920mm-spreader-clamp/1797826_TP.prd,Tools & equipment,Hand tools,TPW2023224
https://www.trade-point.co.uk/departments/erbauer-ext-elm18-li-cordless-36v-lawnmower/3663602418276_TP.prd,Outdoor & garden,Garden power tools,TPW780402
https://www.trade-point.co.uk/departments/carlube-diesel-adblue-10l/5010373043264_TP.prd,Tools & equipment,Automotive,TPW589077
https://www.trade-point.co.uk/departments/floplast-miniflo-black-half-round-gutter-length-l-2m-dia-76mm/81059_TP.prd,Building supplies,Guttering,TPW0002042
https://www.trade-point.co.uk/departments/ultimate-white-gloss-marble-effect-porcelain-floor-tile-pack-of-3-l-595mm-w-595mm/5057741330687_TP.prd,Flooring & tiling,Tiles,TPW566460
https://www.trade-point.co.uk/departments/cleverspa-hot-tub-spa-filter-pack-of-2/5019008881066_TP.prd,Outdoor & garden,Garden furniture,TPW0002003
https://www.trade-point.co.uk/departments/erbauer-t41-cutting-disc-230mm-x-1-9mm-x-22-2mm-pack-of-5/5059340334646_TP.prd,Tools & equipment,Power tool accessories,TPW588993
https://www.trade-point.co.uk/departments/evolution-2000w-240v-255mm-corded-sliding-mitre-saw-r255sms/0849713073716_TP.prd,Tools & equipment,Power tools,TPW638613
https://www.trade-point.co.uk/departments/beko-qbse222x-built-in-multifunction-oven-hob-pack-stainless-steel/8690842474316_TP.prd,Kitchen,Kitchen appliances,TPW824238
https://www.trade-point.co.uk/departments/bemis-denver-white-toilet-seat/303657_TP.prd,Bathroom,Toilet seats,TPW2023252
https://www.trade-point.co.uk/departments/cuprinol-city-stone-matt-decking-wood-stain-2-5l/127195_TP.prd,Painting & decorating,Woodcare,TPW2023260
https://www.trade-point.co.uk/departments/varta-longlife-power-aa-battery-pack-of-24/1519153_TP.prd,Electrical & security,Batteries & charging,TPW0002143
https://www.trade-point.co.uk/departments/beko-bcfd473-70-30-integrated-frost-free-fridge-freezer/8690842609145_TP.prd,Kitchen,Kitchen appliances,TPW824236
https://www.trade-point.co.uk/departments/goodhome-38mm-berberis-gloss-black-star-effect-chipboard-laminate-square-edge-kitchen-worktop-l-3000mm/3663602634911_TP.prd,Kitchen,Kitchen worktops,TPW0003400
https://www.trade-point.co.uk/departments/gyproc-fibatape-xtreme-fibreglass-orange-joining-tape-l-90m-w-48mm/898483_TP.prd,Building supplies,Roofing supplies,TPW570203
https://www.trade-point.co.uk/departments/smith-locke-black-powder-coated-steel-hasp-staple-l-150mm-w-45mm/1733031_TP.prd,Hardware,Gate furniture,TPW1150041
https://www.trade-point.co.uk/departments/blue-circle-multipurpose-cement-25kg-bag/35715_TP.prd,Building supplies,Cements & additives,TPW763011
https://www.trade-point.co.uk/departments/the-house-nameplate-company-brass-letter-plate-h-80mm-w-280mm/193039_TP.prd,Hardware,Door furniture,TPW580756
https://www.trade-point.co.uk/departments/bosch-bi-metal-14-piece-holesaw/3165140949613_TP.prd,Tools & equipment,Power tool accessories,TPW2023034
https://www.trade-point.co.uk/departments/blooma-black-steel-tee-hinge-l-381mm-pack-of-2/5059340456393_TP.prd,Hardware,Gate furniture,TPW580703
https://www.trade-point.co.uk/departments/goodhome-polished-angled-thermostatic-radiator-valve-lockshield-dia-15mm-x-/5036581050795_TP.prd,"Heating, plumbing & cooling",Central heating,TPW0002073
https://www.trade-point.co.uk/departments/dewalt-rosewell-black-sweatshirt-large/5057741308730_TP.prd,Tools & equipment,Safety & workwear,TPW638893
https://www.trade-point.co.uk/departments/werner-1-tread-plastic-steel-foldable-step-stool-h-0-76m/5010845002478_TP.prd,Tools & equipment,Ladders & steps,TPW637114
https://www.trade-point.co.uk/departments/bg-white-e14-pendant-set/5050765170949_TP.prd,Lighting,Light fixtures & fittings,TPW579435
https://www.trade-point.co.uk/departments/boreas-corded-grey-plain-blackout-roller-blind-w-90cm-l-180cm/1643968_TP.prd,"Home, furniture & storage",Home furnishings,TPW1326521
https://www.trade-point.co.uk/departments/goodhome-kombu-soft-close-110-clip-on-cabinet-hinge-pair/3663602643784_TP.prd,Hardware,Hinges,TPW580660
https://www.trade-point.co.uk/departments/google-nest-3rd-generation-t3028gb-smart-thermostat-silver-effect/0813917021170_TP.prd,"Heating, plumbing & cooling",Central heating,TPW1652450
https://www.trade-point.co.uk/departments/numatic-henry-xl-nrv370-11-corded-cylinder-vacuum-cleaner-15l/5028965813782_TP.prd,"Home, furniture & storage",Home furnishings,TPW2023317
https://www.trade-point.co.uk/departments/varnished-hot-rolled-steel-twisted-round-bar-l-2m-dia-8mm/254218_TP.prd,Hardware,Builder's metalwork,TPW765615
https://www.trade-point.co.uk/departments/fire-exit-pvc-safety-sign-h-125mm-w-400mm/237155_TP.prd,Tools & equipment,Safety & workwear,TPW0003154
https://www.trade-point.co.uk/departments/goodhome-denia-wooden-4-seater-coffee-set/3663602423973_TP.prd,Outdoor & garden,Garden furniture,TPW0003398
https://www.trade-point.co.uk/departments/floplast-white-solvent-weld-90-waste-pipe-bend-dia-32mm/262242_TP.prd,"Heating, plumbing & cooling",Plumbing,TPW0002061
https://www.trade-point.co.uk/departments/corrubit-black-bitumen-corrugated-roofing-sheet-l-2m-w-930mm-t-2-2mm/5060382235778_TP.prd,Building supplies,Roofing supplies,TPW570202
https://www.trade-point.co.uk/departments/diall-white-pvc-round-edge-bath-seal-l-2500mm-w-17mm/5059340164540_TP.prd,Bathroom,Showers,TPW2023147
https://www.trade-point.co.uk/departments/verve-black-gravel-tray-520mm/954398_TP.prd,Outdoor & garden,Lawn & plant care,TPW0002108
https://www.trade-point.co.uk/departments/goodhome-moorea-steel-grey-aluminium-6-seater-coffee-set/5059340675732_TP.prd,Outdoor & garden,Garden furniture,TPW0001973
https://www.trade-point.co.uk/departments/goodhome-hartland-matt-black-white-floor-lamp/5063022067869_TP.prd,Lighting,Indoor lights,TPW579453
https://www.trade-point.co.uk/departments/erbauer-ecsp41-41cc-400mm-petrol-chainsaw/5059340255897_TP.prd,Outdoor & garden,Garden power tools,TPW780378
https://www.trade-point.co.uk/departments/erbauer-ext-18v-5ah-li-ion-battery/3663602799108_TP.prd,Tools & equipment,Power tools,TPW1419560
https://www.trade-point.co.uk/departments/matt-black-stone-effect-chamfered-straight-edge-solid-core-laminate-bathroom-worktop-t-1-2cm-x-l-122cm-x-w-38-5cm/5065012980073_TP.prd,Bathroom,Bathroom worktops,TPW822363
https://www.trade-point.co.uk/departments/goodhome-athens-satin-nickel-effect-extendable-ball-single-curtain-pole-set-set-l-1200mm-2100mm-dia-19mm/3663602453079_TP.prd,"Home, furniture & storage",Home furnishings,TPW2023162
https://www.trade-point.co.uk/departments/chs60-stainless-steel-chimney-cooker-hood-w-60cm-inox/1769290_TP.prd,Kitchen,Kitchen appliances,TPW0002754
https://www.trade-point.co.uk/departments/spacepro-white-end-fillet-l-2800mm-w-90mm/1212861_TP.prd,"Home, furniture & storage",Furniture,TPW0000426
https://www.trade-point.co.uk/departments/goodhome-poprock-grey-wood-planks-wood-effect-self-adhesive-vinyl-plank-pack-of-7/3663602563365_TP.prd,Flooring & tiling,Flooring & underlay,TPW566438
https://www.trade-point.co.uk/departments/prysmian-grey-twin-earth-cable-2-5mm-x-100m/33833_TP.prd,Electrical & security,Wiring,TPW763713
https://www.trade-point.co.uk/departments/lay-z-spa-black-grey-dome-spa-canopy/6942138984095_TP.prd,Outdoor & garden,Garden furniture,TPW0002007
https://www.trade-point.co.uk/departments/mountfield-lawnmower-oil-1l/109403_TP.prd,Outdoor & garden,Garden power tools,TPW0998435
https://www.trade-point.co.uk/departments/plumbsure-compression-reducing-coupler-dia-22mm-dia-15mm-22mm/34129_TP.prd,"Heating, plumbing & cooling",Plumbing,TPW1655195
https://www.trade-point.co.uk/departments/site-black-bodywarmer-size-12/5059340652382_TP.prd,Tools & equipment,Safety & workwear,TPW638888
https://www.trade-point.co.uk/departments/verve-hardy-cupressus-goldcrest-conifer-1l-large/5059340937359_TP.prd,Outdoor & garden,"Plants, seeds & bulbs",TPW780365
https://www.trade-point.co.uk/departments/yard-stone-chevron-tuft-king-cotton-duvet-cover-pillow-case-set/5025532552747_TP.prd,"Home, furniture & storage",Home furnishings,TPW822487
https://www.trade-point.co.uk/departments/magnusson-carbon-steel-rubber-wood-dutch-hoe/5059340087313_TP.prd,Outdoor & garden,Garden hand tools & equipment,TPW780462
https://www.trade-point.co.uk/departments/tcp-white-10-pedestal-fan-with-adjustable-height/8720039609914_TP.prd,"Heating, plumbing & cooling",Air treatment,TPW1652325
https://www.trade-point.co.uk/departments/cecina-grey-satin-marble-effect-porcelain-wall-floor-tile-pack-of-5-l-600mm-w-300mm/5063022022554_TP.prd,Flooring & tiling,Tiles,TPW0003405
https://www.trade-point.co.uk/departments/colorado-steel-grey-2-seater-swing-bench/5059340852225_TP.prd,Sport & leisure,Outdoor play,TPW0002744
https://www.trade-point.co.uk/departments/mill-heat-invisible-electric-smart-600w-white-panel-heater/5025301994211_TP.prd,"Heating, plumbing & cooling","Fires, stoves & electric heating",TPW1652543
https://www.trade-point.co.uk/departments/focal-point-osmington-1-8kw-electric-fire/5023539024410_TP.prd,"Heating, plumbing & cooling","Fires, stoves & electric heating",TPW1652460
https://www.trade-point.co.uk/departments/jg-speedfit-white-cross-linked-polyethylene-pe-x-push-fit-barrier-pipe-l-25m-dia-22mm/34376_TP.prd,"Heating, plumbing & cooling",Plumbing,TPW1652471
