media,page_url,features,rating,rating_count,price
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000081887_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000081887_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000081887_02.jpg']",https://www.wickes.co.uk/Wickes-Incised-Light-Green-Garden-Sleeper---100-x-200-x-2400mm/p/276785,"['Easier to handle sized sleeper which is ideal for many garden uses such as enclosing flower beds and building furniture', 'Using cutting edge technology, incised garden sleepers feature small incisions on all sides which allows the preservative to permeate the timber to a deeper level, ensuring a long life span', 'Pressure treated to Use Class 4, for use in ground contact where a higher degree of protection is required', 'The end result is a sleeper that comes with a 15 year warranty and complete peace of mind', 'Cut ends should be sealed with appropriate wood preservative', 'Always keep clean and recoat all sides with a wood preserver or stain to help prevent splitting, warping and rot', 'Further Information: Coloured treated wood which typically fades with age but can darken when wet', 'All sizes are approximate', 'FSC certified timber from well managed forests']",4.9,76,30.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100557486_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100557486_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100557486_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100557486_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100557486_05.jpg']",https://www.wickes.co.uk/Wickes-Bark-Chippings---100L/p/185213,"['Perfect for use in finishing beds and border areas', 'Protects plant roots', 'Superior weed control', 'Holds moisture for longer', '8-40mm mid size chips']",4.7,2953,12.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100745170_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100745170_01.jpg']",https://www.wickes.co.uk/Einhell-Classic-GC-EM-1032-Electric-Lawn-Mower---1000W/p/236217,"['Separate cutting height adjustment of each wheel', 'Cutting width: 32cm (12.5in)', 'Powerful motor ensures perfect cutting results', 'Folding long handle for space saving storage', 'Wide wheels exert less stress on the lawn', 'Grass box: 30L', 'Recommended for lawn areas up to 300m²', '2 year warranty']",4.5,88,52.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100571626_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100571626_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100571626_02.jpg']",https://www.wickes.co.uk/Hozelock-Auto-Rewind-Reel-with-Hose-Pipe---30m/p/199368,"['The robust mechanism quickly stores the hose away for you, with much less effort', 'The hose is layered back into the auto reel for smooth operation every time', 'Wall mounted with 180 degree pivot allowing you to reach every area of your garden', 'Includes 30m of premium hose and soft-touch connectors', 'Includes wall fixings, hose connectors and a Nozzle', 'Product dimensions: 455 (h) x 492 (w) x 282 (d) mm', 'Product weight: 11.1 kg']",4.7,413,120.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/H9491_114574_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/H9491_114574_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/H9491_114574_02.jpg']",https://www.wickes.co.uk/Hozelock-2415-2-in-1-Compact-Enclosed-Reel-with-Hose-Pipe---25m/p/114574,"['Can be wall mounted or used as a free standing reel', 'Enclosed casing for added protection from wear and tear', 'Large winding handle for hassle free manual rewinding', 'Lightweight design and folding carry handle allows the hose reel to be fully portable', 'Easy to assemble', 'Free standing and wall mountable', 'Enclosed with 25m hose', '2 years guarantee and 15 years on hose', 'Includes wall fixings, hose connectors and a nozzle']",4.3,118,45.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100571627_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100571627_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100571627_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100571627_03.jpg']",https://www.wickes.co.uk/Hozelock-Auto-Rewind-Reel-with-Hose-Pipe---40m/p/199369,"['The robust mechanism quickly stores the hose away for you, with much less effort', 'The hose is layered back into the auto reel for smooth operation every time', 'Wall mounted with 180 degree pivot allowing you to reach every area of your garden', 'Includes 40m of premium hose and soft-touch connectors', 'Includes wall fixings, hose connectors and a nozzle', 'Product dimensions: 545 (h) x 656 (w) x 260 (d) mm', 'Product weight: 15.8 kg']",4.8,263,130.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089001_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089001_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089001_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089001_03.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089001_04.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089001_05.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_1100089001_06.jpg']",https://www.wickes.co.uk/Cuprinol-5-Year-Ducksback-Matt-Shed+Fence-Treatment---Black---5L/p/156459,"['Suitable for use on sheds and fences', 'Non drip easy application', 'Long lasting weather protection', 'Showerproof in 1 hour', 'Wax enriched water repellant', 'Low odour and safe to use around plants and pets', 'Decorative anti-slip finish', 'Water based', '5 years protection']",4.9,361,10.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086533_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086533_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086533_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086533_03.jpg']",https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Green-Ivy---5L/p/278499,"['Long lasting protection', 'Mould and algae protected paint film', 'Rainproof', 'Water based', 'UV protection', 'Easy and simple to apply', 'Weathershield promise - if your walls peel, flake or there is a mould growth within the paint film while you live in your home, we will return the value of a replacement product to you. Register to activate the promise. Registration and paint application required within 6 months of purchase. T&C’s apply', 'Remove paint from the brush or roller with a cloth and then wash it with water']",4.9,9,22.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086517_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086517_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086517_02.jpg']",https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Black---5L/p/278459,"['Suitable for exterior walls', 'Mould and algae protected paint film', 'Easy application', 'Rainproof', 'Water based', 'UV protection', '15 long years of lasting protection', 'Remove paint from the brush or roller with a cloth and then wash it with water']",5.0,3,22.0
"['https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086528_00.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086528_01.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086528_02.jpg', 'https://res.cloudinary.com/dj6kabpgi/image/upload/products/wickes/GPID_5000086528_03.jpg']",https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Buttermilk---5L/p/278470,"['Long lasting protection', 'Mould and algae protected paint film', 'Rainproof', 'Water based', 'UV protection', 'Easy and simple to apply', 'Weathershield promise - if your walls peel, flake or there is a mould growth within the paint film while you live in your home, we will return the value of a replacement product to you. Register to activate the promise. Registration and paint application required within 6 months of purchase. T&C’s apply', 'Remove paint from the brush or roller with a cloth and then wash it with water']",4.9,7,22.0
