category_code,URL,category_id,subcategory_id
TPW824249,https://www.trade-point.co.uk/departments/kitchen/kitchen-appliances/waste-disposal-units/TPW824249.cat,6,29
TPW589069,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sawing-blades/jigsaw-blades/TPW589069.cat,16,67
TPW780456,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/digging-planting-soil-care/spades/TPW780456.cat,16,61
TPW824272,https://www.trade-point.co.uk/departments/kitchen/kitchen-worktops/worktops/TPW824272.cat,6,31
TPW637210,https://www.trade-point.co.uk/departments/tools-equipment/ladders-steps/step-stools/TPW637210.cat,16,75
TPW623238,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/squares/TPW623238.cat,16,67
TPW984927,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sanding/sanding-rolls/TPW984927.cat,16,67
TPW892536,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/bedding/pillows/TPW892536.cat,17,77
TPW580675,https://www.trade-point.co.uk/departments/hardware/furniture-hardware/wardrobe-rails-fittings/TPW580675.cat,17,76
TPW638760,https://www.trade-point.co.uk/departments/tools-equipment/tool-storage/tool-boxes/TPW638760.cat,16,67
TPW822363,https://www.trade-point.co.uk/departments/bathroom/bathroom-worktops/worktops/TPW822363.cat,5,19
TPW768181,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/bottles-vases-jars/TPW768181.cat,17,76
TPW831349,https://www.trade-point.co.uk/departments/hardware/locks-padlocks/door-locks-latches/multi-point-locks/TPW831349.cat,10,50
TPW585128,https://www.trade-point.co.uk/departments/outdoor-garden/decking/decking-steps/TPW585128.cat,9,44
TPW623228,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/cutting-guide/TPW623228.cat,16,67
TPW1022873,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/saws/mitre-saws/TPW1022873.cat,16,67
TPW1739947,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/drills/angle-drills/TPW1739947.cat,16,67
TPW768180,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/ornaments/TPW768180.cat,17,76
TPW579450,https://www.trade-point.co.uk/departments/lighting/indoor-lights/counter-cabinet-lighting/TPW579450.cat,2,10
TPW1150016,https://www.trade-point.co.uk/departments/hardware/locks-padlocks/door-locks-latches/night-latches/TPW1150016.cat,10,50
TPW1066895,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/saws/table-saws/TPW1066895.cat,16,67
TPW638754,https://www.trade-point.co.uk/departments/tools-equipment/tool-storage/tool-belts-and-holders/TPW638754.cat,16,67
TPW1484079,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/clothes-storage-shoe-racks/vacuum-storage-bags/TPW1484079.cat,17,77
TPW636191,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/screwdrivers-keys/plumbing-keys/TPW636191.cat,16,67
TPW581230,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/bins-sacks/TPW581230.cat,16,61
TPW623234,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/rules/TPW623234.cat,16,67
TPW822130,https://www.trade-point.co.uk/departments/bathroom/wet-rooms/installation-kits-components/TPW822130.cat,5,20
TPW1739959,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/batteries-chargers/batteries/TPW1739959.cat,16,67
TPW780428,https://www.trade-point.co.uk/departments/outdoor-garden/garden-power-tools/leaf-blowers-garden-vacs/TPW780428.cat,16,61
TPW623236,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/spirit-levels/TPW623236.cat,16,67
TPW589063,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sanding/sanding-pads/TPW589063.cat,16,67
TPW585085,https://www.trade-point.co.uk/departments/outdoor-garden/decking/decking-accessories/TPW585085.cat,9,44
TPW1727990,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/clothes-storage-shoe-racks/clothes-wardrobe-organisers/TPW1727990.cat,17,77
TPW638759,https://www.trade-point.co.uk/departments/tools-equipment/tool-storage/tool-bags/TPW638759.cat,16,67
TPW580652,https://www.trade-point.co.uk/departments/hardware/bolts-nuts-washers/TPW580652.cat,15,62
TPW1655194,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/plumbing/pipe-fittings/reducers/TPW1655194.cat,1,3
TPW566468,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-supplies/gripper-rods/TPW566468.cat,4,15
TPW637134,https://www.trade-point.co.uk/departments/tools-equipment/ladders-steps/extension-ladders/TPW637134.cat,16,75
TPW579434,https://www.trade-point.co.uk/departments/lighting/light-fixtures-fittings/lampholders/TPW579434.cat,2,10
TPW822128,https://www.trade-point.co.uk/departments/bathroom/wet-rooms/wet-room-screens/TPW822128.cat,5,20
TPW822386,https://www.trade-point.co.uk/departments/bathroom/bathroom-accessories/towel-rails-rings/TPW822386.cat,5,26
TPW592546,https://www.trade-point.co.uk/departments/outdoor-garden/paving-walling/weed-control-fabric/TPW592546.cat,9,46
TPW822396,https://www.trade-point.co.uk/departments/bathroom/bathroom-accessories/shower-curtains/TPW822396.cat,5,26
TPW1022841,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/saws/circular-saws/TPW1022841.cat,16,67
TPW581228,https://www.trade-point.co.uk/departments/outdoor-garden/plants-seeds-bulbs/bulbs/TPW581228.cat,9,43
TPW637148,https://www.trade-point.co.uk/departments/tools-equipment/ladders-steps/step-ladders/TPW637148.cat,16,75
TPW1074009,https://www.trade-point.co.uk/departments/outdoor-garden/paving-walling/walling-coping/walling/TPW1074009.cat,9,46
TPW780452,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/digging-planting-soil-care/cultivators/TPW780452.cat,16,61
TPW765622,https://www.trade-point.co.uk/departments/hardware/builder-s-metalwork/sheet-metal/TPW765622.cat,15,78
TPW780430,https://www.trade-point.co.uk/departments/outdoor-garden/garden-power-tools/garden-shredders/TPW780430.cat,16,61
TPW1739960,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/batteries-chargers/chargers/TPW1739960.cat,16,67
TPW589038,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/routing/router-bits/TPW589038.cat,16,67
TPW1496994,https://www.trade-point.co.uk/departments/hardware/furniture-hardware/drawer-runners/TPW1496994.cat,17,77
TPW638854,https://www.trade-point.co.uk/departments/tools-equipment/tarpaulins-sheets-sacks/tarpaulins/TPW638854.cat,16,67
TPW638622,https://www.trade-point.co.uk/departments/tools-equipment/site-equipment/TPW638622.cat,16,67
TPW780415,https://www.trade-point.co.uk/departments/outdoor-garden/garden-power-tools/garden-power-accessories/TPW780415.cat,16,61
TPW638852,https://www.trade-point.co.uk/departments/tools-equipment/tarpaulins-sheets-sacks/rubble-sacks/TPW638852.cat,16,67
TPW579430,https://www.trade-point.co.uk/departments/lighting/indoor-lights/light-shades/TPW579430.cat,2,10
TPW857674,https://www.trade-point.co.uk/departments/kitchen/kitchen-cabinets/wine-racks/TPW857674.cat,6,29
TPW824279,https://www.trade-point.co.uk/departments/kitchen/kitchen-cabinets/cabinet-units/TPW824279.cat,6,29
TPW580720,https://www.trade-point.co.uk/departments/hardware/pins-rivets-staples/staples/TPW580720.cat,16,67
TPW585834,https://www.trade-point.co.uk/departments/outdoor-garden/greenhouses-growhouses/greenhouses/TPW585834.cat,9,39
TPW635920,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/test-equipment-detectors/TPW635920.cat,16,67
TPW822391,https://www.trade-point.co.uk/departments/bathroom/bathroom-accessories/soap-dishes-dispensers/TPW822391.cat,5,26
TPW589073,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sawing-blades/reciprocating-saw-blades/TPW589073.cat,16,67
TPW623233,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/measure-sets/TPW623233.cat,16,67
TPW592561,https://www.trade-point.co.uk/departments/outdoor-garden/paving-walling/garden-stepping-stones/TPW592561.cat,9,46
TPW585835,https://www.trade-point.co.uk/departments/outdoor-garden/greenhouses-growhouses/growhouses-cold-frames/TPW585835.cat,9,46
TPW623229,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/chalk-plumb-lines/TPW623229.cat,16,67
